Name,StageName,Amount,CloseDate
Acme Corp - Enterprise License,Closed Won,150000,2026-01-15
Acme Corp - Platform Upgrade,Negotiation/Review,200000,2026-06-30
Delta Health - CRM Migration,Closed Won,320000,2025-11-20
Delta Health - Analytics Add-on,Proposal/Price Quote,85000,2026-05-15
Pinnacle - Compliance Module,Closed Won,275000,2026-02-28
Pinnacle - API Integration,Closed Won,120000,2025-09-15
NovaTech - Cloud Suite,Closed Won,95000,2025-12-10
NovaTech - Support Contract,Negotiation/Review,45000,2026-07-01
CloudBridge - Data Platform,Closed Won,180000,2026-01-30
CloudBridge - ML Module,Qualification,110000,2026-08-15
Meridian - Fleet Tracking,Closed Won,72000,2025-10-15
Summit Edu - Student Portal,Closed Won,55000,2026-03-01
Beta Industries - Inventory System,Closed Won,65000,2025-08-20
Beta Industries - Expansion,Closed Lost,90000,2026-01-31
Atlas Retail - POS Integration,Closed Lost,78000,2025-11-15
Atlas Retail - Loyalty Program,Prospecting,55000,2026-06-30
CoreWave - Network Monitoring,Closed Won,195000,2025-07-15
CoreWave - 5G Platform,Closed Lost,350000,2026-02-15
Bright Horizons - CMS,Needs Analysis,38000,2026-07-31
Pacific Supply - ERP Link,Closed Lost,42000,2025-12-30
Quantum - Monitoring Suite,Closed Won,130000,2025-06-30
Quantum - Predictive Maint,Closed Lost,85000,2025-12-15
Urban Eats - Delivery App,Qualification,22000,2026-08-01
Gamma - Accounting Module,Closed Lost,35000,2025-09-30
Gamma - Renewal,Closed Lost,28000,2026-01-15
Redwood - CRM Setup,Closed Lost,18000,2025-10-31
Ironclad - Security Platform,Closed Lost,65000,2025-08-15
Ironclad - Compliance,Closed Lost,45000,2026-02-28
Lakeside - Property Mgmt,Closed Lost,24000,2025-11-30
FrostByte - Game Server,Closed Lost,12000,2025-07-31
OldGuard - Claims System,Closed Won,85000,2025-04-15
OldGuard - Digital Transform,Closed Lost,150000,2025-12-31
OldGuard - Renewal,Closed Lost,85000,2026-03-15
Rustic Farms - Crop Tracker,Closed Lost,15000,2025-09-15
Sunset Travel - Booking,Closed Lost,10000,2025-06-30
Cobalt - Safety Compliance,Closed Won,70000,2025-05-15
Cobalt - Process Automation,Closed Lost,95000,2026-01-31
Echo Systems - Starter Pack,Closed Lost,8000,2025-08-31
Greenfield - Quality System,Closed Won,88000,2026-02-10
Summit Edu - Analytics,Proposal/Price Quote,42000,2026-06-15
